Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
5,1,0.7802918069584737,0.002949498366036193,2.5102526187896728,0.21706596903154998,0.0647456169128418,0.03768822487483085,0.6,{'max_samples': 0.6},0.7843995510662177,0.7800224466891134,0.782716049382716,0.7764309764309765,0.7778900112233446
6,2,0.7794612794612795,0.004485407931996255,2.481934070587158,0.04903865710299894,0.041257476806640624,0.00049559387305188,0.7,{'max_samples': 0.7},0.783726150392817,0.7749719416386083,0.7858585858585858,0.7753086419753087,0.7774410774410775
3,3,0.7792143658810325,0.003634284644920263,1.7270077228546143,0.04393984076407364,0.04164037704467773,0.0016792476095022263,0.4,{'max_samples': 0.4},0.77665544332211,0.7810325476992144,0.7855218855218855,0.7771043771043771,0.7757575757575758
4,3,0.7792143658810325,0.0037596696621195694,2.0881182670593263,0.10839565388701182,0.041630220413208005,0.0017022933104435258,0.5,{'max_samples': 0.5},0.7820426487093154,0.7799102132435466,0.7833894500561167,0.7726150392817059,0.7781144781144781
7,5,0.7791021324354658,0.004093306243057155,2.7295980930328367,0.07084510919593766,0.04270462989807129,0.0025142065530240104,0.8,{'max_samples': 0.8},0.7759820426487093,0.7781144781144781,0.7868686868686868,0.7755331088664422,0.7790123456790123
2,6,0.7778675645342312,0.0027265105418181304,1.3148537635803224,0.038135482637368295,0.03896608352661133,0.00045920132842402356,0.3,{'max_samples': 0.3},0.7764309764309765,0.774635241301908,0.7817059483726151,0.7760942760942761,0.7804713804713804
9,7,0.7777104377104377,0.0045142965015742475,3.1339894771575927,0.05889634714807534,0.042084693908691406,0.0010947365452122664,1.0,{'max_samples': 1.0},0.7833894500561167,0.7729517396184062,0.7823793490460157,0.7727272727272727,0.7771043771043771
8,8,0.7775757575757576,0.005910090054014464,2.9094833850860597,0.03899423430365379,0.04200482368469238,0.0008202344145314853,0.9,{'max_samples': 0.9},0.7795735129068463,0.7775533108866443,0.7851851851851852,0.767003367003367,0.7785634118967453
1,9,0.7745230078563411,0.0014125371692527279,1.0537667751312256,0.11465072795175074,0.043407249450683597,0.00592098633345746,0.2,{'max_samples': 0.2},0.7745230078563412,0.7734006734006734,0.7767676767676768,0.7727272727272727,0.7751964085297418
0,10,0.7639057239057239,0.004098349913724688,0.5704502105712891,0.040742265852309396,0.04044532775878906,0.003925968938820755,0.1,{'max_samples': 0.1},0.7646464646464647,0.7707070707070707,0.7648709315375982,0.7594837261503928,0.7598204264870931
